Contrast,Block,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,hedges,Feature
Block * Subject_Type,5,0,1,False,True,-0.1512869617273478,62.257079488473096,two-sided,0.8802385091907634,1.0,bonf,0.27,-0.03229620676596068,mean_pupil_contraction_rate
Block * Subject_Type,6,0,1,False,True,-0.4701247341893096,46.16658621631734,two-sided,0.6404792433522595,1.0,bonf,0.293,-0.11508052192640053,mean_pupil_contraction_rate
Block * Subject_Type,7,0,1,False,True,-0.7855697901973577,48.69310092022029,two-sided,0.4359255413076977,1.0,bonf,0.346,-0.18836605021619482,mean_pupil_contraction_rate
Block * Subject_Type,8,0,1,False,True,0.5695294587279105,37.86720644640457,two-sided,0.572360214538667,1.0,bonf,0.306,0.15077498991728783,mean_pupil_contraction_rate
Block,-,1,2,True,True,-0.48666037876921864,65.0,two-sided,0.6281359998573128,1.0,bonf,0.151,-0.04180870370447243,median_pupil_contraction_rate
Block,-,1,3,True,True,-1.0812341103189094,65.0,two-sided,0.28358824926449483,1.0,bonf,0.236,-0.11343693815121209,median_pupil_contraction_rate
Block,-,1,4,True,True,-0.4086307443245335,65.0,two-sided,0.6841538277856081,1.0,bonf,0.146,-0.04736676173113147,median_pupil_contraction_rate
Block,-,1,5,True,True,-1.931000178210496,65.0,two-sided,0.057846349322648996,1.0,bonf,0.773,-0.21328142519428028,median_pupil_contraction_rate
Block,-,1,6,True,True,0.07895043785701444,65.0,two-sided,0.937314600182704,1.0,bonf,0.135,0.00842780807990377,median_pupil_contraction_rate
Block,-,1,7,True,True,0.930726327828475,65.0,two-sided,0.3554391223481046,1.0,bonf,0.204,0.11716438812824222,median_pupil_contraction_rate
Block,-,1,8,True,True,-1.4735992330043506,65.0,two-sided,0.1454161248510612,1.0,bonf,0.377,-0.2037036942214911,median_pupil_contraction_rate
Block,-,2,3,True,True,-0.6927296419055398,65.0,two-sided,0.49094688219889615,1.0,bonf,0.17,-0.06945012643036592,median_pupil_contraction_rate
Block,-,2,4,True,True,-0.06660296560584296,65.0,two-sided,0.9471022242841104,1.0,bonf,0.135,-0.006606325847211588,median_pupil_contraction_rate
Block,-,2,5,True,True,-1.5953283714102533,65.0,two-sided,0.11548994298191917,1.0,bonf,0.449,-0.170581755947915,median_pupil_contraction_rate
Block,-,2,6,True,True,0.45790533608492723,65.0,two-sided,0.6485475631196694,1.0,bonf,0.149,0.04861447780223981,median_pupil_contraction_rate
Block,-,2,7,True,True,1.3396611479912155,65.0,two-sided,0.18502065296517436,1.0,bonf,0.316,0.15972632190113006,median_pupil_contraction_rate
Block,-,2,8,True,True,-1.0854372582633587,65.0,two-sided,0.2817373421604239,1.0,bonf,0.237,-0.15870324301500596,median_pupil_contraction_rate
Block,-,3,4,True,True,0.6294072193740213,65.0,two-sided,0.531288567144061,1.0,bonf,0.163,0.06052055789675633,median_pupil_contraction_rate
Block,-,3,5,True,True,-1.000827024609692,65.0,two-sided,0.32062177184996404,1.0,bonf,0.218,-0.10949224283079112,median_pupil_contraction_rate
Block,-,3,6,True,True,1.2300922677734982,65.0,two-sided,0.22309605086754514,1.0,bonf,0.277,0.11731234907254359,median_pupil_contraction_rate
Block,-,3,7,True,True,2.1054351143833605,65.0,two-sided,0.03912197566378421,1.0,bonf,1.063,0.2389284891425278,median_pupil_contraction_rate
Block,-,3,8,True,True,-0.6567737660036047,65.0,two-sided,0.5136450713134465,1.0,bonf,0.166,-0.09355404647905108,median_pupil_contraction_rate
